Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
1157,1157,0,04,d4
1158,1158,0,99,c3
1159,1159,0,34,03
1160,1160,0,24,3b
1161,1161,0,f4,64
1162,1162,0,93,c4
1163,1163,0,73,f3
1164,1164,0,f4,03
1165,1165,0,c3,f6
1166,1166,0,23,03
1167,1167,0,c4,34
1168,1168,0,3e,c4
1169,1169,0,44,13
1170,1170,0,04,d0
1171,1171,0,84,c3
1172,1172,0,d3,13
1173,1173,0,03,c4
1174,1174,0,e4,c3
1175,1175,0,e3,10
1176,1176,0,33,34
1177,1177,0,44,14
1178,1178,0,33,a4
1179,1179,0,94,03
1180,1180,0,04,31
1181,1181,0,c4,64
1182,1182,0,53,d4
1183,1183,0,4f,83
1184,1184,0,24,e4
1185,1185,0,e4,5c
1186,1186,0,53,c4
1187,1187,0,44,14
1188,1188,0,bc,44
1189,1189,0,f4,74
1190,1190,0,64,1a
1191,1191,0,d4,15
1192,1192,0,a4,15
1193,1193,0,ea,75
1194,1194,0,04,74
1195,1195,0,a5,6f
1196,1196,0,f4,85
1197,1197,0,f4,65
1198,1198,0,50,b5
1199,1199,0,75,25
1200,1200,0,95,9e
1201,1201,0,c5,15
1202,1202,0,35,76
1203,1203,0,7b,b5
1204,1204,0,f6,15
1205,1205,0,35,4e
1206,1206,0,96,96
1207,1207,0,c6,46
1208,1208,0,ef,06
1209,1209,0,75,56
